"ASDR per 100 000 - Total deaths all causes, both sexes",,
Countries,2014,2013
Albania,, 
Anguilla,, 
Antigua and Barbuda,, 
Argentina,564.8,578.2 
Armenia,681.1,675.1 
Aruba,, 
Australia,342.4,339.3 
Austria,386.3,399.6 
Azerbaijan,, 
Bahamas,, 
Bahrain,392.5,482 
Barbados,, 
Belarus,753.5,786.1 
Belgium,,421.3 
Belize,, 
Bermuda,, 
Bolivia,, 
Bosnia and Herzegovina,570.2, 
Brazil,613.5,626.5 
British Virgin Islands,, 
Brunei Darussalam,, 
Bulgaria,,678.8 
Canada,, 
Cabo Verde,, 
Cayman Islands,, 
Chile,424.7,430.6 
Colombia,,489 
Costa Rica,394.4,391 
Croatia,541.3,548.1 
Cuba,499.7,493.2 
Cyprus,,359.1 
Czech Republic,496.6,524.1 
Denmark,416.4,433 
Dominica,, 
Dominican Republic,, 
Ecuador,439.7,453.8 
Egypt,1003.5,791.1 
El Salvador,,582.1 
Estonia,551.2,554.4 
Falkland Islands (Malvinas),, 
Fiji,, 
Finland,401.3,406.3 
France,,362.4 
French Guiana,, 
Georgia,769.9,643.3 
Germany,405.9,425.9 
Greece,,397.3 
Grenada,, 
Guadeloupe,, 
Guatemala,665,664.8 
Guyana,, 
Haiti,, 
Honduras,, 
Hong Kong SAR,,303.4 
Hungary,629.7,640.3 
Iceland,, 
Iraq,, 
Ireland,,409.2 
Israel,353.1,358.1 
Italy,, 
Jamaica,, 
Japan,307.8,315.3 
Jordan,, 
Kazakhstan,838.5,881.3 
Kiribati,, 
Kuwait,374.6,380.2 
Kyrgyzstan,858.1,856.4 
Latvia,671.9,690.8 
Lithuania,663.9,694.2 
Luxembourg,, 
Macau,, 
Malaysia,, 
Maldives,, 
Malta,, 
Martinique,, 
Mauritius,680.2,682.6 
Mayotte,, 
Mexico,560.3,556.4 
Monaco,, 
Mongolia,, 
Montenegro,, 
Montserrat,, 
Morocco,, 
Netherlands,387.5,393.5 
Netherlands Antilles,, 
New Zealand,, 
Nicaragua,, 
Norway,366.9,381.2 
Occupied Palestinian Territory,, 
Oman,, 
Panama,468.6,471.5 
Paraguay,517.9,548.6 
Peru,, 
Philippines,, 
Poland,536.2,565 
Portugal,393.7,414.4 
Puerto Rico,482.2,477.6 
Qatar,385.6,342.7 
Republic of Korea,,374.9 
Republic of Moldova,856.5,833.3 
Reunion,,414.4 
Rodrigues,, 
Romania,636.7,637.2 
Russian Federation,, 
Saint Kitts and Nevis,, 
Saint Lucia,, 
Saint Pierre and Miquelon,, 
Saint Vincent and Grenadines,, 
San Marino,, 
Sao Tome and Principe,, 
Saudi Arabia,, 
Serbia,677.1,682.7 
Seychelles,, 
Singapore,335.6,345.5 
Slovakia,576.1,596.1 
Slovenia,,432.5 
South Africa,1065.5,1085.3 
Spain,337.7,341.6 
Sri Lanka,, 
Suriname,, 
Sweden,363,373.7 
Switzerland,,340.6 
Syrian Arab Republic,, 
Tajikistan,, 
TFYR Macedonia,,681 
Thailand,567.9,580.5 
Trinidad and Tobago,, 
Tunisia,, 
Turkey,,490 
Turkmenistan,848.8,838.4 
Turks and Caicos Islands,, 
Ukraine,844.9, 
United Arab Emirates,, 
United Kingdom,,407.4 
United States of America,468.8,471.2 
Uruguay,537.3,556.1 
Uzbekistan,708.2,705.2 
Venezuela (Bolivarian Republic of),,593.3 
Virgin Islands (USA),, 
Zimbabwe,, 
Total reporting countries,, 